Date,Step,종가_pred,대비_pred,등락률_pred,시가_pred,고가_pred,저가_pred,거래량_pred,거래대금_pred,시가총액_pred,상장주식수_pred,종가_actual
2025-11-10,126,59259.77602713703,12.44387579672322,0.0546216936152136,59265.85092899266,59978.81622041019,58670.85854851958,17784317.929345254,1065756102438.9419,351189875682481.56,5924030662.305752,103500.0
2025-11-11,127,59272.053798352565,12.277771215551425,0.054363331284984134,59278.274764959504,59991.28137142902,58683.058863866674,17787643.519966163,1066192489298.94,351265367149572.1,5924069875.772878,103100.0
2025-11-12,128,59284.16709941619,12.11330106363313,0.05410730238865233,59290.53190145896,60003.58007884263,58695.0954123954,17790968.169902686,1066625468458.6793,351339870396924.0,5924108974.570709,102800.0
2025-11-13,129,59296.11755385989,11.950454443706363,0.05385359388843444,59302.62398644668,60015.71398090581,58706.969813658325,17794291.501822926,1067055051941.6007,351413394975215.25,5924147956.190691,97200.0
2025-11-14,130,59307.90677432855,11.789220468664112,0.05360219271394126,59314.55265679822,60027.68470494476,58718.68367631188,17797613.145576477,1067481251950.5554,351485950373536.94,5924186818.184889,100600.0
2025-11-17,131,59319.536362591,11.62958826245655,0.05335308576385231,59326.31953832109,60039.493867367186,58730.23859812818,17800932.73810551,1067904080863.0623,351557546019412.56,5924225558.165153,97800.0
2025-11-18,132,59331.00790955246,11.471546961457776,0.05310625990858306,59337.92624576757,60051.14307367372,58741.63616600794,17804249.923354857,1068323551226.5203,351628191278825.2,5924264173.802286,96500.0
2025-11-19,133,59342.32299526772,11.315085715260253,0.0528617019919245,59349.37438284894,60062.633918470274,58752.877955994445,17807564.35218449,1068739675753.6025,351697895456250.4,5924302662.825225,100600.0
2025-11-20,134,59353.483188955586,11.160193687872848,0.052619398833349734,59360.66554225047,60073.967985481526,58763.965533288494,17810875.68228196,1069152467317.647,351766667794696.75,5924341023.0202265,94800.0
2025-11-21,135,59364.4900490142,11.006860058619864,0.05237933722985119,59371.80130564761,60085.146847565375,58774.900452264344,17814183.57807633,1069561938948.1621,351834517475752.25,5924379252.2300625,96700.0
2025-11-24,136,59375.34512303745,10.855074023252214,0.05214150395808467,59382.78324372311,60096.172066728526,58785.68425648675,17817487.710652217,1069968103826.3442,351901453619637.56,5924417348.353227,99300.0
2025-11-25,137,59386.04994783236,10.704824794925813,0.05190588577631536,59393.61291618511,60107.04519414294,58796.318478728834,17820787.757664785,1070370975280.6948,351967485285265.5,5924455309.343143,102800.0
2025-11-26,138,59396.606049437345,10.556101604991014,0.05167246942614043,59404.29187178631,60117.767770163395,58806.80464099104,17824083.403256144,1070770566782.7118,352032621470306.3,5924493133.20739,103500.0
2025-11-27,139,59407.01494314151,10.408893704170183,0.05144124163461225,59414.82164834392,60128.34132434592,58817.14425452085,17827374.337971814,1071166891942.6128,352096871111259.6,5924530818.006925,100500.0
2025-11-28,140,59417.278133504755,10.26319036324277,0.05121218911586731,59425.20377276069,60138.76737546717,58827.338819833574,17830660.25867847,1071559964505.1418,352160243083531.6,5924568361.855324,100800.0
2025-12-01,141,59427.39711437895,10.118980874210607,0.05098529857321252,59435.43976104669,60149.04743154479,58837.389826733925,17833940.868481785,1071949798345.4242,352222746201518.94,5924605762.918024,103400.0
